day_of_week,10,11,12,13,14,15,16,17,18,19
Monday,1272.0,920.0,1063.0,1482.0,1446.0,1453.0,1478.0,741.0,0.0,0.0
Tuesday,0.0,1170.0,1588.0,1437.0,1429.0,1421.0,1353.0,1145.0,1095.0,583.0
Wednesday,0.0,1245.0,1401.0,1137.0,1156.0,1189.0,1268.0,1072.0,1022.0,547.0
Thursday,734.0,389.0,504.0,556.0,565.0,595.0,642.0,338.0,0.0,0.0
Friday,1617.0,1267.0,1326.0,1348.0,1338.0,1371.0,1320.0,697.0,0.0,0.0
Saturday,0.0,1380.0,1051.0,989.0,973.0,908.0,1062.0,657.0,0.0,0.0
Sunday,0.0,1539.0,1084.0,1064.0,912.0,910.0,1007.0,561.0,0.0,0.0
